Year;Nominal Return S&P 500 (includes dividends);Nominal Return US T. Bond (10-year);Nominal Value S&P 500 (includes dividends);Nominal Value US T. Bond (10-year);Nominal Historical Risk Premium;Inflation Rate (CPI for all urban consumers);Real Return S&P 500 (includes dividends);Real Return US T. Bond (10-year)
1977;-0.06979704075935232;0.012899606071070449;4771.197675053536;462.49733090970153;0.04926676135704655;0.0667808;-0.1280280267130346;-0.05050821492937407
1978;0.0650928391167193;-0.007775806907508648;5081.768477709861;458.9010409693096;0.04974189891320324;0.0898876;-0.022749832994962582;-0.08960869626143897
1979;0.18519490167516386;0.006707203124723546;6022.886091275286;461.9789834652378;0.052132252828986925;0.1325479;0.04648545255804537;-0.11111291352469643
1980;0.3173524550676301;-0.02989744251999403;7934.263778934181;448.16699336164055;0.05731870525758964;0.1235371;0.17250463297351737;-0.1365638415678433
1981;-0.04702390247495576;0.08199215335892354;7561.163732783006;484.91317021175587;0.05373099046864449;0.08912039999999999;-0.1250039045039978;-0.006544957418001207
1982;0.20419055079559353;0.32814549486295586;9105.081920035633;644.0352424164572;0.05103868869213968;0.0382572;0.1598191188036966;0.2792066309416932
1983;0.22337155858930619;0.032002094451429264;11138.898259597305;664.6457190743178;0.05340283065456397;0.037871;0.17873180635098795;-0.005654754346706703
1984;0.0614614199963621;0.13733364344102345;11823.510763827162;755.9239372722727;0.05121212631805139;0.040433899999999995;0.020210337241377996;0.09313397366331833
1985;0.3123514948576895;0.2571248821260641;15516.60202537456;950.2907905396761;0.05128436510258161;0.037914699999999996;0.2644117044085508;0.21120250260070894
1986;0.18494578758046187;0.24284215141767618;18386.332207530046;1181.0614505867354;0.04966356559973906;0.011872100000000002;0.17104304741721998;0.2282601243948481
1987;0.05812721641821871;-0.04960508937926228;19455.07851889441;1122.4747917679792;0.05069359043750721;0.0433213;0.01419113787691173;-0.08906785414930396
1988;0.16537192812044688;0.08223595843484167;22672.402365298665;1214.7825820879684;0.051199933578993884;0.0441176;0.11613091103956763;0.03650772521681622
1989;0.31475183638196724;0.17693647159446219;29808.58264496728;1429.7219259170236;0.05240982169336883;0.046396;0.25645724599670405;0.12475245661724821
1990;-0.03064451612903212;0.06235375333553336;28895.113053319994;1518.8704542240573;0.049979953137364364;0.0625495;-0.08770792902263103;-0.00018422357214098461
1991;0.3023484313487976;0.15004510019517303;37631.50515863746;1746.769523711594;0.0513850639844049;0.0298063;0.26465378134586826;0.1167586566475396
1992;0.07493727972380064;0.09361637316207942;40451.507787137925;1910.2957512715263;0.050319857010869606;0.0296671;0.043965840730271655;0.06210674611442801
1993;0.0996705147919488;0.14210957589263107;44483.33039239249;2181.7670703142176;0.04897593793175847;0.028109600000000002;0.06960436396270264;0.11088309640589955
1994;0.013259206774573897;-0.08036655550998592;45073.144068086905;2006.4259659479505;0.0497186361717199;0.025974;-0.012392900039792543;-0.10364839217171773
1995;0.3719519890260631;0.23480780112538907;61838.18965587012;2477.5504351330737;0.05079145111941363;0.0253165;0.3380765734542095;0.20431866757765937
1996;0.2268096601886579;0.01428607793401844;75863.6884383998;2512.944913734846;0.05304503967737495;0.033788200000000004;0.18671277171538403;-0.01886471722736016
1997;0.33103653103653097;0.09939130272977531;100977.34069068384;2762.7097823991153;0.05531558490330357;0.0169705;0.3088251144320615;0.08104542140580806
1998;0.28337953278443584;0.14921431922606215;129592.25231742462;3174.945641798982;0.056306048135548625;0.0160692;0.2630828026126919;0.13103942056905393
1999;0.20885350992084475;-0.08254214796268576;156658.0490724665;2912.878808860126;0.05963469481832018;0.026764;0.17734309921349478;-0.10645693456596239
2000;-0.09031818955249278;0.16655267125397488;142508.97770141574;3398.0265555148762;0.055111895842923087;0.0343602;-0.12053672362151302;0.1278011965792718
2001;-0.11849759142000185;0.055721811892492555;125622.00708807123;3587.37075204697;0.051665345512908356;0.0160367;-0.1324108582101431;0.039058738618883204
2002;-0.219660479579127;0.15116400378109285;98027.81676541301;4129.65207797358;0.045325449773477855;0.0248027;-0.23854658031163167;0.12330305509645223
2003;0.2835580005001023;0.003753185881775853;125824.38848080393;4145.151429849277;0.048237796117156506;0.020352000000000002;0.2579560783926551;-0.016267733211895563
2004;0.10742775944096193;0.04490683702274547;139341.42061832585;4331.297069544118;0.04842299846885445;0.0334232;0.07161108773342972;0.0111122307131728
2005;0.048344775232688535;0.028675329597779506;146077.8502787223;4455.498440599193;0.04804218940225513;0.0333855;0.014475987163249604;-0.004557999316054384
2006;0.15612557979315703;0.019610012417568386;168884.33934842583;4542.8708203458;0.04914903600480591;0.0252398;0.1276635766511962;-0.00549119101934159
2007;0.054847352464217694;0.10209921930012807;178147.19823435548;5006.694384484438;0.047948712238125024;0.0410881;0.013216222973077452;0.058603224165301615
2008;-0.3655234411179819;0.20101279926977011;113030.22131020659;6013.104037797893;0.0387958688686898;-0.0002223;-0.36538236561785886;0.20127984377904218
2009;0.2593523387766398;-0.11116695313259162;142344.87355944986;5344.6455830466175;0.04286850613334847;0.028141199999999998;0.2248826705676612;-0.13549515682533853
2010;0.14821092278719414;0.08462933880355772;163441.9386237224;5796.959404879208;0.04310851643347546;0.014377899999999999;0.1319360593198986;0.06925568745489996
2011;0.0209837473362805;0.16035334999461354;166871.5629679545;6726.52126523437;0.04097042900424852;0.030620699999999997;-0.00935062983279833;0.12587817224572873
2012;0.15890585241730293;0.02971571978018946;193388.43092558492;6926.40468624756;0.041988275684727405;0.017595;0.13886747912214847;0.011911143215315834
2013;0.32145085858125483;-0.09104568794347262;255553.30808629587;6295.785406613258;0.04617680941872315;0.0151284;0.30175735264746284;-0.10459178163419791
2014;0.13524421649462237;0.10746180452004755;290115.4150110358;6972.341867278899;0.04597502937583342;0.0065312;0.12787782087095012;0.10027568397288378
2015;0.013788916411676138;0.012842996709792224;294115.79221836175;7061.887630939909;0.0454344573137655;0.006387199999999999;0.007354740214975175;0.006414823946282455
2016;0.11773080874798171;0.006905504698747792;328742.28230178286;7110.653529157394;0.046176501247687796;0.020508000000000002;0.09526903145098498;-0.013329141272044986
2017;0.2160548143449928;0.028017162707789457;399768.63507184375;7309.873866042513;0.047686840373502015;0.0212993;0.19069386843307612;0.0065777610028612266
2018;-0.04226869289088544;-0.00016692385713402633;382870.93740858353;7308.65367370163;0.04660866909463257;0.0200238;-0.061069646503233876;-0.01979436544238866
2019;0.31211679996808755;0.09635630741548393;502371.3891933326;8012.88855387813;0.04825368440680444;0.0231399;0.2824412379656853;0.07156050449746298
2020;0.18023201827422478;0.1133189764661412;592914.798590873;8920.900883340859;0.0484426634144246;0.0132204;0.16483246712583433;0.09879250009784779
2021;0.2846885175196416;-0.04416034448604475;761710.8336171656;8526.950827206665;0.051322006296357525;0.0719446;0.19846540345428454;-0.10831244869002066
2022;-0.18037505927178585;-0.1782817153825067;624317.1968555079;7006.751406749976;0.05060942016976089;0.0644494;-0.23000103083508328;-0.22803443299653947
2023;0.26060684985024096;0.0388;787018.5348353545;7278.613361331874;0.052277478113130105;0.031200000000000002;0.22246591335360844;0.007370054305663398
