Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
COOPERATIVA DE CRÉDITO E INVESTIMENTO DO SUDOESTE  DA AMAZÔNIA LTDA - SICOOB CREDISUL;3.632.872;b3S;I;2;S5;9;VILHENA;RO;12/2023;4.392.310;397.232;1.144.204;1.694.824;712.825;124.975;91.778;41.047;29.325;156.100;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37.395.399;b3S;I;2;S5;9;GOIANIA;GO;12/2023;4.197.853;791.419;1.132.557;736.973;767.886;265.260;145.064;117.650;49.059;191.984;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DE ESTADOS RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI UNIESTADOS;87.780.268;b3S;I;2;S4;9;ERECHIM;RS;12/2023;4.067.562;118.925;1.515.616;1.462.247;625.888;150.704;68.953;36.745;26.487;61.997;0
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;C;1;S4;8;ARACAJU;SE;12/2023;4.011.754;1.936.792;1.315.919;371.143;151.290;56.127;25.380;23.759;30.725;100.620;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS E GRANDE CURITIBA - SICREDI CAMPOS GERAIS E GRANDE CURITIBA PR/SP;81.466.286;b3S;I;2;S4;9;PONTA GROSSA;PR;12/2023;3.955.864;169.041;2.037.637;1.096.238;348.849;124.787;57.795;32.518;26.914;62.085;0
MERCADO PAGO INSTITUIÇÃO DE PAGAMENTO LTDA.;10.573.521;n4;C;2;S4;41;OSASCO;SP;12/2023;3.830.445;3.830.445;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO - SICREDI UNIAO RS/ES;88.894.548;b3S;I;2;S4;9;CERRO LARGO;RS;12/2023;3.791.630;191.436;1.809.266;1.264.736;299.392;91.630;40.843;19.203;20.827;54.296;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE GOIANO;24.795.049;b3S;I;2;S5;9;RIO VERDE;GO;12/2023;3.725.628;0;410.647;1.352.866;1.348.885;231.467;153.556;69.153;24.562;134.491;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42.898.825;b3S;I;2;S5;9;BELO HORIZONTE;MG;12/2023;3.692.956;1.162;1.310.887;1.004.033;1.022.803;228.271;25.624;42.710;9.504;47.961;0
CREFISA;52.010;b1;C;2;S4;199;SAO PAULO;SP;12/2023;3.665.694;337.292;2.510.348;73.501;131.729;125.874;76.198;61.679;57.676;291.397;0
SISPRIME DO BRASIL - COOPERATIVA DE CRÉDITO;2.398.976;b3S;I;2;S4;9;LONDRINA;PR;12/2023;3.505.256;0;2.208.233;962.225;198.690;75.603;10.506;7.020;7.056;35.921;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU;33.021.064;b3S;I;2;S4;9;CANARANA;MT;12/2023;3.462.244;167.489;1.618.550;972.377;332.580;127.660;75.928;32.507;31.645;103.506;0
BMW;51.420;n1;C;3;S4;197;SAO PAULO;SP;12/2023;3.298.039;186.380;1.524.757;1.263.122;228.974;19.871;37.831;8.525;4.605;23.973;0
JP MORGAN CHASE;20.107;b1;C;3;S3;199;SAO PAULO;SP;12/2023;3.266.494;2.733.151;10.818;449.542;0;72.983;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL E BAHIA - SICREDI CENTRO-SUL MS/BA;26.408.161;b3S;I;2;S4;9;DOURADOS;MS;12/2023;3.175.816;196.546;1.455.216;872.639;298.765;116.569;68.318;55.395;29.495;82.872;0
BANCO RODOBENS S.A.;33.603.457;b1;C;2;S4;8;SAO PAULO;SP;12/2023;3.134.527;380.776;2.257.158;336.444;86.158;25.192;15.490;9.175;4.804;19.330;0
BANCO MIZUHO DO BRASIL S.A.;61.088.183;b1;I;3;S4;8;SAO PAULO;SP;12/2023;3.094.114;3.079.075;0;0;15.039;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DOS ESTADOS DE MATO GROSSO DO SUL, TOCANTINS E OESTE DA BAHIA - SICREDI UNIÃO MS/TO;24.654.881;b3S;I;2;S4;9;CAMPO GRANDE;MS;12/2023;3.057.559;156.879;1.428.421;911.138;282.264;92.154;44.448;22.552;16.493;103.211;0
BANCO INBURSA S.A.;4.866.275;b1;I;3;S4;8;SAO PAULO;SP;12/2023;3.042.257;0;2.191.837;542.649;260.581;7.668;5.671;5.590;4.792;23.470;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NORTE MATO-GROSSENSE E OESTE PARAENSE - SICREDI GRANDES RIOS MT/PA/AM;37.442.605;b3S;I;2;S4;9;COLIDER;MT;12/2023;3.033.810;78.935;1.467.578;742.554;291.159;160.083;89.733;45.585;39.800;118.384;0
BOFA MERRILL LYNCH;51.255;b1;C;3;S3;199;SAO PAULO;SP;12/2023;3.001.738;2.565.002;31.236;0;405.501;0;0;0;0;0;0
BANCO YAMAHA MOTOR DO BRASIL S.A.;10.371.492;b1;C;3;S4;8;SAO PAULO;SP;12/2023;2.954.127;106;14.869;2.226.972;324.392;90.570;57.103;42.926;37.298;159.892;0
COOPERATIVA DE CRÉDITO SUL-SERRANA DO ESPÍRITO SANTO;815.319;b3S;I;2;S5;9;VENDA NOVA DO IMIGRANTE;ES;12/2023;2.826.999;140.596;453.263;784.088;1.092.309;162.825;59.741;24.701;22.099;87.376;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PLANALTO - SICREDI PLANALTO RS/MG;88.038.260;b3S;I;2;S4;9;CRUZ ALTA;RS;12/2023;2.782.414;42.183;839.114;1.212.690;403.259;124.042;50.097;22.988;25.460;62.582;0
BANCO DIGIMAIS S.A.;92.874.270;b1;C;3;S4;8;SAO PAULO;SP;12/2023;2.726.357;134;1.567.621;243.617;275.473;138.693;92.953;85.405;62.605;259.856;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CONEXÃO - SICREDI CONEXÃO;87.733.770;b3S;I;2;S4;9;RODEIO BONITO;RS;12/2023;2.668.476;175.767;1.104.866;876.369;313.901;107.294;31.819;16.843;9.324;32.293;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO CERRADO - SICREDI VALE DO CERRADO;32.983.165;b3S;I;2;S4;9;CAMPO VERDE;MT;12/2023;2.627.823;146.006;1.041.086;679.474;360.070;156.303;64.260;40.449;40.152;100.024;0
INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;55.230.916;b1;I;3;S4;8;SAO PAULO;SP;12/2023;2.624.398;1.550.784;696.946;361.372;0;15.296;0;0;0;0;0
BANCO LUSO BRASILEIRO S.A.;59.118.133;b1;I;2;S4;8;SAO PAULO;SP;12/2023;2.577.994;0;986.244;1.272.117;223.134;13.587;42.623;21.887;2.359;16.044;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DA PRODUÇÃO - SICREDI REGIÃO DA PRODUÇÃO RS/SC/MG;89.468.565;b3S;I;2;S4;9;SARANDI;RS;12/2023;2.541.690;43.617;887.125;1.007.660;366.124;92.014;45.926;24.878;25.431;48.916;0
COOPERATIVA DE CRÉDITO ARACOOP LTDA. - SICOOB ARACOOP;3.320.525;b3S;I;2;S5;9;ARAGUARI;MG;12/2023;2.538.617;18.302;1.200.560;679.136;414.667;102.254;47.003;23.359;15.187;38.150;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SORRISO - SICREDI CELEIRO MT/RR;26.555.235;b3S;I;2;S4;9;SORRISO;MT;12/2023;2.522.340;34.857;1.150.636;678.935;228.573;133.133;89.397;32.155;55.374;119.280;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO FRONTEIRAS DO PARANÁ, SANTA CATARINA E SÃO PAULO - SICREDI FRONTEIRAS PR/SC/SP;82.527.557;b3S;I;2;S4;9;CAPANEMA;PR;12/2023;2.516.035;101.564;885.151;957.195;323.257;119.425;52.962;20.300;15.613;40.569;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10.663.610;n1;I;1;S4;30;SAO PAULO;SP;12/2023;2.447.697;796.770;314.722;373.638;561.349;98.024;60.444;44.158;44.020;154.570;0
