Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5);;;;;;;;;;;
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;;C;3;SAO BERNARDO DO CAMPO;SP;12/2023;2.371.583;0;2.371.583;0;2.371.583;17.451.162;0;0;0;0;0;0;1.092.823;0;18.543.985;20.687.265;12,79%;12,79%;12,79%;463.600;11,46%;0,72%
BANCO MASTER - PRUDENCIAL;1000080367;b1;S3;1;C;2;RIO DE JANEIRO;RJ;12/2023;2.090.446;16.976;2.107.422;0;2.107.422;14.694.276;27.167;0;79.075;1.310.027;210.415;1.626.683;1.965.662;0;18.286.621;36.508.433;11,43%;11,52%;11,52%;457.166;5,77%;20,15%
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;;I;3;INDAIATUBA;SP;12/2023;2.577.830;0;2.577.830;0;2.577.830;17.033.712;416.021;0;0;0;0;416.021;703.648;0;18.153.381;21.020.723;14,20%;14,20%;14,20%;453.835;12,26%;0,16%
STONE IP - PRUDENCIAL;1000084686;n1;S4;3;C;2;SAO PAULO;SP;12/2023;1.724.074;0;1.724.074;0;1.724.074;3.694.008;42.373;0;0;0;1;42.375;1.658.532;11.444.579;16.839.494;NA;10,24%;10,24%;10,24%;0;NA%;NA%
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;1;C;2;SAO PAULO;SP;12/2023;1.490.156;51.288;1.541.444;664.907;2.206.351;15.243.679;29.736;0;6.590;0;34.120;70.446;1.133.160;0;16.447.284;NA;9,06%;9,37%;13,41%;411.182;NA%;6,88%
VOLVO - PRUDENCIAL;1000080769;b2;S3;;C;3;CURITIBA;PR;12/2023;2.715.706;0;2.715.706;0;2.715.706;14.921.060;0;0;0;0;0;0;949.652;0;15.870.712;16.399.508;17,11%;17,11%;17,11%;396.768;16,56%;18,90%
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;S4;3;C;2;OSASCO;SP;12/2023;2.292.549;0;2.292.549;0;2.292.549;9.848.398;120.564;0;0;0;88;120.653;0;5.431.782;15.400.832;NA;14,89%;14,89%;14,89%;0;NA%;NA%
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;1;I;3;SAO PAULO;SP;12/2023;2.368.258;0;2.368.258;0;2.368.258;13.468.480;31.844;11.938;0;0;0;43.782;1.222.337;0;14.734.599;20.937.981;16,07%;16,07%;16,07%;736.730;11,31%;9,27%
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;;C;3;SAO PAULO;SP;12/2023;2.769.795;0;2.769.795;0;2.769.795;3.806.021;83.277;45;3.990.901;484.508;3.402.042;7.960.774;2.544.934;0;14.311.729;27.383.225;19,35%;19,35%;19,35%;357.793;10,11%;0,98%
BANESTES - PRUDENCIAL;1000080147;b1;S3;1;C;1;VITORIA;ES;12/2023;1.975.694;0;1.975.694;0;1.975.694;11.299.664;3.098;1.379;31.446;1.226;0;37.149;2.198.795;0;13.535.607;27.300.884;14,60%;14,60%;14,60%;338.390;7,24%;16,73%
