Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;;I;2;BELO HORIZONTE;MG;03/2013;1.471.336;46.506;1.393.457;58.164;77.879;2.937;43.453;14,92%;39,29%;0;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;03/2013;1.436.781;970.294;1.094.715;1.037.478;342.067;14.711;340.992;28,55%;3,75%;0;64
OMNI;50940;n1;;C;2;SAO PAULO;SP;03/2013;1.420.048;1.114.068;1.266.547;696.904;153.500;6.488;0;NI%;0,00%;3;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;;I;1;CURITIBA;PR;03/2013;1.396.126;683.242;56.237;24.521;1.339.888;13.896;207.861;88,00%;0,43%;1;0
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;;I;1;VITORIA;ES;03/2013;1.349.917;877.513;1.187.724;933.021;162.193;2.534;161.906;19,62%;13,07%;1;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;;I;3;BARUERI;SP;03/2013;1.316.248;1.209.455;878.342;761.247;437.906;-11.550;388.086;34,25%;0,00%;3;0
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;;I;2;SAO PAULO;SP;03/2013;1.306.153;825.038;97.791;0;1.208.362;127.383;1.208.308;58,66%;1,25%;1;0
FATOR;50122;b1;;C;2;SAO PAULO;SP;03/2013;1.299.030;69.466;882.737;642.087;416.293;-11.239;416.293;29,74%;34,23%;4;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;;I;2;SAO PAULO;SP;03/2013;1.288.355;1.142.405;851.142;305.320;437.213;25.685;437.006;40,86%;0,16%;1;0
CAIXA GERAL;51815;b1;;C;3;SAO PAULO;SP;03/2013;1.281.828;441.534;811.142;500.336;470.686;-4.098;470.362;23,82%;9,96%;4;0
WESTLB;51554;b1;;I;3;SAO PAULO;SP;03/2013;1.261.630;641.211;755.269;560.387;506.361;2.463;506.361;47,14%;0,52%;1;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;;I;2;BRASILIA;DF;03/2013;1.249.228;935.373;961.862;898.924;287.366;14.885;287.343;23,78%;3,10%;0;5
NOSSA CAIXA DESENVOLVIMENTO - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;;I;1;SAO PAULO;SP;03/2013;1.237.204;670.729;201.600;185.365;1.035.604;5.606;835.604;114,78%;0,39%;0;0
BANCO INTERMEDIUM S/A;416968;b1;;I;2;BELO HORIZONTE;MG;03/2013;1.223.472;920.518;947.489;779.301;275.982;1.311;275.982;21,96%;4,47%;5;0
BANCO MODAL S.A.;30723886;b1;;I;2;RIO DE JANEIRO;RJ;03/2013;1.189.566;369.736;934.837;773.686;254.729;1.391;309.198;16,66%;7,88%;2;0
BANCO FORD S.A.;90731688;b2;;I;3;SAO PAULO;SP;03/2013;1.137.267;661.434;862.293;844.211;274.975;5.713;274.975;23,00%;0,00%;1;0
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;;I;2;FRANCISCO BELTRAO;PR;03/2013;1.122.197;13.026;1.066.971;715.648;55.227;98;55.227;11,08%;8,17%;0;0
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;;I;2;CAMPO MOURAO;PR;03/2013;1.101.888;440.185;867.883;836.691;234.006;7.083;234.006;38,74%;0,08%;0;36
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO PARANÁ - SICREDI UNIÃO PR;79342069;b3S;;I;2;MARINGA;PR;03/2013;1.082.661;682.996;954.311;588.444;128.351;4.029;118.068;13,16%;22,00%;0;61
BANCO GUANABARA S.A.;31880826;b1;;I;2;RIO DE JANEIRO;RJ;03/2013;1.039.075;531.961;914.527;781.987;124.548;2.405;150.776;23,64%;1,79%;1;0
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CRESOL CENTRAL SC/RS;7202627;b3C;;I;2;CHAPECO;SC;03/2013;1.033.942;2.788;980.621;668.209;53.321;-98;53.304;11,36%;11,60%;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;;I;2;NOVA PETROPOLIS;RS;03/2013;1.000.747;537.439;825.568;756.024;175.179;4.186;160.864;20,06%;12,11%;0;37
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CATARATAS DO IGUAÇU - SICREDI CATARATAS DO IGUAÇU;78414067;b3S;;I;2;MEDIANEIRA;PR;03/2013;946.405;551.334;819.492;587.257;126.913;7.303;116.949;13,35%;13,93%;0;32
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SORRISO - SICREDI CELEIRO DO MT;26555235;b3S;;I;2;SORRISO;MT;03/2013;938.289;499.422;822.984;492.616;115.305;6.296;106.215;13,91%;12,05%;0;13
INTERCAP;50476;b1;;C;2;SAO PAULO;SP;03/2013;920.214;367.259;802.310;695.647;117.904;-2.080;97.112;15,13%;1,23%;2;0
