Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Adicional de Capital Principal;Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;;
MIZUHO - PRUDENCIAL;1000080697;b1;S4;I;3;SAO PAULO;SP;06/2023;963.009;0;963.009;0;963.009;5.784.887;5.193;0;0;0;5.193;455.831;6.245.911;8.550.049;15,42%;15,42%;15,42%;156.148;11,26%;2,17%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;S4;I;2;MEDIANEIRA;PR;06/2023;849.558;0;849.558;127.359;976.917;6.019.308;53;0;0;0;53;202.808;6.222.168;9.379.814;13,65%;13,65%;15,70%;155.554;9,06%;18,25%
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;06/2023;748.238;202.921;951.159;0;951.159;5.088.746;1.868;0;0;0;1.868;1.110.283;6.200.897;NA;12,07%;15,34%;15,34%;310.045;NA%;0,50%
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;06/2023;2.388.310;0;2.388.310;0;2.388.310;5.804.079;0;0;0;0;0;285.926;6.090.004;9.105.407;39,22%;39,22%;39,22%;304.500;26,23%;0,22%
RODOBENS - PRUDENCIAL;1000080855;b1;S4;C;2;SAO PAULO;SP;06/2023;1.034.584;0;1.034.584;0;1.034.584;4.450.394;0;0;0;0;0;1.356.716;5.807.110;6.078.819;17,82%;17,82%;17,82%;290.355;17,02%;49,98%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;S4;I;2;PALOTINA;PR;06/2023;789.170;0;789.170;131.974;921.143;5.476.799;0;0;0;0;0;162.761;5.639.560;9.097.528;13,99%;13,99%;16,33%;140.989;8,67%;6,74%
OMNI - PRUDENCIAL;1000080460;b1;S4;C;2;SAO PAULO;SP;06/2023;604.166;0;604.166;84.323;688.490;4.634.492;241;0;0;0;241;881.239;5.515.973;7.579.506;10,95%;10,95%;12,48%;137.899;7,97%;5,34%
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;S4;C;2;SAO PAULO;SP;06/2023;716.484;0;716.484;129.249;845.734;4.789.656;48.316;0;104.745;0;153.061;499.104;5.441.820;6.292.110;13,17%;13,17%;15,54%;136.045;11,39%;7,11%
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;S4;I;3;SAO PAULO;SP;06/2023;1.104.010;0;1.104.010;0;1.104.010;5.067.773;2.564;0;0;0;2.564;317.940;5.388.276;5.036.946;20,49%;20,49%;20,49%;134.707;21,92%;0,50%
REALIZE CFI - PRUDENCIAL;1000084703;n1;S4;I;3;PORTO ALEGRE;RS;06/2023;907.246;0;907.246;0;907.246;5.029.191;4.290;0;0;0;4.290;345.727;5.379.208;NA;16,87%;16,87%;16,87%;134.480;NA%;0,43%
