Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
SCANIA BANCO S.A.;11417016;b2;;I;3;SAO BERNARDO DO CAMPO;SP;09/2014;209.906;0;209.906;74.922;284.827;2.166.136;0;0;0;0;0;17.794;2.183.930;NA;9,61%;9,61%;13,04%;NA%;0,93%
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;09/2014;293.256;0;293.256;46.199;339.455;1.754.909;4.676;1;11.608;31.247;47.532;210.627;2.013.069;NA;14,57%;14,57%;16,86%;NA%;24,06%
BANCO TRIANGULO S.A.;17351180;b1;;I;2;UBERLANDIA;MG;09/2014;351.365;0;351.365;0;351.365;1.477.346;0;0;140;0;140;529.121;2.006.607;NA;17,51%;17,51%;17,51%;NA%;27,24%
BARCLAYS;51705;b1;;C;3;SAO PAULO;SP;09/2014;588.955;0;588.955;0;588.955;846.808;15.287;0;763.187;0;778.474;344.429;1.969.711;NA;29,90%;29,90%;29,90%;NA%;5,32%
CAIXA GERAL;51815;b1;;C;3;SAO PAULO;SP;09/2014;405.891;0;405.891;0;405.891;1.582.435;16.047;0;95.845;2.764;114.656;164.300;1.861.392;NA;21,81%;21,81%;21,81%;NA%;9,87%
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;09/2014;532.366;0;532.366;0;532.366;1.849.438;0;0;0;0;0;0;1.849.438;NA;28,79%;28,79%;28,79%;NA%;3,01%
BANCO FORD S.A.;90731688;b2;;I;3;SAO PAULO;SP;09/2014;299.639;0;299.639;0;299.639;1.706.737;0;0;0;0;0;111.197;1.817.934;NA;16,48%;16,48%;16,48%;NA%;0,00%
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;;I;2;SERTAOZINHO;SP;09/2014;310.468;0;310.468;0;310.468;1.614.637;0;2.004;23.684;1.782;27.469;137.813;1.779.920;NA;17,44%;17,44%;17,44%;NA%;2,80%
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;09/2014;622.431;0;622.431;0;622.431;1.489.840;0;0;24.774;0;24.774;223.883;1.738.496;NA;35,80%;35,80%;35,80%;NA%;5,24%
BANCO CARGILL S.A.;3609817;b1;;I;3;SAO PAULO;SP;09/2014;405.504;0;405.504;0;405.504;1.583.449;27.813;0;1.503;0;29.316;111.127;1.723.892;NA;23,52%;23,52%;23,52%;NA%;0,10%
XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;2332886;n2;;I;3;RIO DE JANEIRO;RJ;09/2014;370.794;0;370.794;0;370.794;1.008.302;192.435;0;27.309;2.800;222.544;414.113;1.644.959;NA;22,54%;22,54%;22,54%;NA%;3,60%
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;;I;2;LUCAS DO RIO VERDE;MT;09/2014;278.052;0;278.052;2.221;280.273;1.392.696;49.222;0;155;4;49.382;91.214;1.533.292;NA;18,13%;18,13%;18,28%;NA%;5,76%
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;;I;2;SAO PAULO;SP;09/2014;668.386;0;668.386;0;668.386;1.309.093;0;0;0;0;0;210.188;1.519.281;NA;43,99%;43,99%;43,99%;NA%;0,09%
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;;I;3;BARUERI;SP;09/2014;464.791;0;464.791;0;464.791;1.408.472;16.775;0;0;0;16.775;84.387;1.509.634;NA;30,79%;30,79%;30,79%;NA%;0,05%
MIZUHO;51554;b1;;I;3;SAO PAULO;SP;09/2014;513.995;0;513.995;0;513.995;1.140.053;8.505;0;135.182;0;143.687;75.929;1.359.670;NA;37,80%;37,80%;37,80%;NA%;0,85%
RENDIMENTO;51468;b1;;C;2;SAO PAULO;SP;09/2014;212.337;0;212.337;0;212.337;890.497;26.705;0;3.810;0;30.516;406.985;1.327.997;NA;15,99%;15,99%;15,99%;NA%;19,70%
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;;I;2;BRASILIA;DF;09/2014;377.119;0;377.119;0;377.119;1.318.360;0;0;0;0;0;0;1.318.360;NA;28,61%;28,61%;28,61%;NA%;1,09%
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;09/2014;320.696;0;320.696;0;320.696;1.081.093;29.897;0;0;0;29.897;136.257;1.247.247;NA;25,71%;25,71%;25,71%;NA%;16,52%
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;;I;1;SAO PAULO;SP;09/2014;788.962;0;788.962;0;788.962;1.086.255;0;0;0;0;0;157.893;1.244.149;NA;63,41%;63,41%;63,41%;NA%;0,90%
BANIF;20255;b1;;C;3;SAO PAULO;SP;09/2014;197.048;0;197.048;0;197.048;1.077.199;15.477;0;6;0;15.483;122.639;1.215.322;NA;16,21%;16,21%;16,21%;NA%;2,37%
FATOR;50122;b1;;C;2;SAO PAULO;SP;09/2014;375.019;0;375.019;0;375.019;1.001.728;0;0;45.936;44.470;90.407;122.663;1.214.798;NA;30,87%;30,87%;30,87%;NA%;39,65%
INTERMEDIUM;51884;b1;;C;2;BELO HORIZONTE;MG;09/2014;294.932;0;294.932;0;294.932;976.635;0;0;0;0;0;220.021;1.196.656;NA;24,65%;24,65%;24,65%;NA%;2,85%
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;;I;2;MARINGA;PR;09/2014;163.858;0;163.858;0;163.858;1.064.776;0;0;0;0;0;96.494;1.161.271;NA;14,11%;14,11%;14,11%;NA%;22,85%
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;09/2014;191.616;0;191.616;0;191.616;1.087.406;1.080;457;10.102;0;11.639;55.681;1.154.726;NA;16,59%;16,59%;16,59%;NA%;43,73%
