Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
ORIGINAL;51.781;b1;C;2;;199;PORTO ALEGRE;RS;03/2013;849.564;0;325.516;165.464;194.899;71.057;40.762;15.777;9.013;27.074;0
BANCO INTERMEDIUM S/A;416.968;b1;I;2;;8;BELO HORIZONTE;MG;03/2013;838.460;63.205;649.932;31.805;18.434;17.696;9.301;7.657;6.671;33.760;0
OMNI;50.940;n1;C;2;;197;SAO PAULO;SP;03/2013;827.501;0;146.964;257.729;227.585;60.728;28.392;18.565;16.792;70.745;0
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60.779.196;n1;I;2;;14;SAO PAULO;SP;03/2013;825.038;0;469.758;20.778;55.957;34.585;38.120;32.382;19.190;154.268;0
BANCO MONEO S.A.;7.441.209;b2;I;2;;8;CAXIAS DO SUL;RS;03/2013;762.181;15.741;69.497;530.850;68.734;49.748;20.975;1.656;137;4.842;0
DACASA FINANCEIRA S.A.-SOC. DE CRED. FINANC. E INVESTIMENTO;27.406.222;n1;I;2;;14;VITORIA;ES;03/2013;700.305;0;446.757;60.562;39.934;26.930;18.788;16.064;14.181;77.088;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3.584.906;n1;I;1;;30;CURITIBA;PR;03/2013;683.242;72.644;512.376;92.794;2.283;1.045;500;381;294;924;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO PARANÁ - SICREDI UNIÃO PR;79.342.069;b3S;I;2;;9;MARINGA;PR;03/2013;682.996;0;240.055;356.313;40.985;14.145;5.363;4.082;3.493;18.560;0
BMW;51.420;n1;C;3;;197;SAO PAULO;SP;03/2013;674.444;111.753;174.289;269.408;82.864;32.731;1.167;394;599;1.238;0
NOSSA CAIXA DESENVOLVIMENTO - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10.663.610;n1;I;1;;30;SAO PAULO;SP;03/2013;670.729;308.002;158.755;110.389;48.917;4.457;17.073;1.706;5.631;15.799;0
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82.937.293;n1;I;1;;30;FLORIANOPOLIS;SC;03/2013;668.530;303.992;211.184;70.676;21.373;4.616;7.788;4.956;20.364;23.581;0
BANCO FORD S.A.;90.731.688;b2;I;3;;8;SAO PAULO;SP;03/2013;661.434;0;291.519;276.476;24.911;68.164;0;286;0;77;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CATARATAS DO IGUAÇU - SICREDI CATARATAS DO IGUAÇU;78.414.067;b3S;I;2;;9;MEDIANEIRA;PR;03/2013;551.334;0;248.213;243.623;25.754;9.151;4.701;5.127;1.093;13.671;0
CREDIT AGRICOLE;51.066;b1;C;3;;199;SAO PAULO;SP;03/2013;543.608;504.594;39.014;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91.586.982;b3S;I;2;;9;NOVA PETROPOLIS;RS;03/2013;537.439;0;154.093;107.134;193.027;54.273;10.573;4.155;2.663;11.521;0
BANCO GUANABARA S.A.;31.880.826;b1;I;2;;8;RIO DE JANEIRO;RJ;03/2013;531.964;1.144;222.480;215.130;61.481;14.159;5.061;3.930;2.698;5.881;0
RENDIMENTO;51.468;b1;C;2;;199;SAO PAULO;SP;03/2013;520.418;0;353.583;90.920;34.557;17.226;1.215;136;108;22.672;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26.565.770;b3S;I;2;;9;LUCAS DO RIO VERDE;MT;03/2013;505.298;0;25.508;228.107;216.031;17.587;3.437;2.783;1.326;10.519;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SORRISO - SICREDI CELEIRO DO MT;26.555.235;b3S;I;2;;9;SORRISO;MT;03/2013;499.422;0;23.434;155.641;277.206;28.212;1.946;3.334;1.823;7.826;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88.894.548;b3S;I;2;;9;CERRO LARGO;RS;03/2013;489.517;0;121.372;118.845;158.366;42.704;17.331;8.081;4.440;18.378;0
BANCO A.J. RENNER S.A.;92.874.270;b1;I;2;;8;PORTO ALEGRE;RS;03/2013;473.690;0;398.104;30.856;17.699;6.497;4.542;2.750;1.856;11.387;0
BANCO COMMERCIAL INVESTMENT TRUST DO BRASIL S.A. - BANCO MÚLTIPLO;43.818.780;b2;I;3;;8;BARUERI;SP;03/2013;461.174;92.995;178.347;170.957;14.050;2.290;507;8;41;1.978;0
CAIXA GERAL;51.815;b1;C;3;;199;SAO PAULO;SP;03/2013;441.534;32.485;125.854;208.422;74.649;0;0;0;0;123;0
CREDICOAMO CREDITO RURAL COOPERATIVA;81.723.108;b3S;I;2;;9;CAMPO MOURAO;PR;03/2013;440.247;8.052;281.376;122.302;16.974;7.109;2.306;681;637;810;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO PLANALTO GAÚCHO - SICREDI PLANALTO GAÚCHO;88.038.260;b3S;I;3;;9;CRUZ ALTA;RS;03/2013;426.800;0;40.337;152.354;200.528;20.197;2.227;1.706;1.255;8.196;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO CENTRO SUL DO MATO GROSSO DO SUL - SICREDI CENTRO-SUL MS;26.408.161;b3S;I;2;;9;DOURADOS;MS;03/2013;418.478;0;104.997;155.136;135.423;8.193;3.954;2.043;1.034;7.699;0
BOFA MERRILL LYNCH;51.255;b1;C;3;;199;SAO PAULO;SP;03/2013;415.626;377.933;0;0;0;20.114;0;0;0;17.579;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS CENTRO NORTE DO MATO GROSSO - SICREDI CENTRO NORTE MT;26.529.420;b3S;I;2;;9;NOVA MUTUM;MT;03/2013;412.170;0;40.361;176.484;151.202;22.014;4.578;3.712;1.117;12.701;0
COOPERATIVA DE CRÉDITO DOS PEQUENOS EMPRESÁRIOS, MICROEMPRESÁRIOS E MICROEMPREENDEDORES - SICOOB CREDICOONAI.;53.923.116;b3S;I;2;;9;RIBEIRAO PRETO;SP;03/2013;409.043;195;361.148;16.083;2.654;3.697;7.896;2.170;1.950;13.250;0
WESTLB;51.554;b1;I;3;;199;SAO PAULO;SP;03/2013;397.113;319.308;75.826;610;233;148;156;103;118;611;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA ÁREA DA SAÚDE, PROFESSORES, CONTABILISTAS E EMPRESÁRIOS DA GRANDE FLORIANÓPOLIS LTDA. - UNICRED FLORIANÓPOLIS;74.064.502;b3S;I;2;;9;FLORIANOPOLIS;SC;03/2013;390.758;0;231.142;143.369;7.017;2.707;2.253;622;1.195;2.453;0
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15.163.587;n1;I;1;;30;SALVADOR;BA;03/2013;389.089;132.150;64.340;131.629;27.248;4.799;4.065;4.023;200;20.636;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32.430.233;b3S;I;2;;9;LINHARES;ES;03/2013;387.235;40;103.590;172.293;77.104;9.820;2.227;4.792;3.035;14.334;0
BANCO LUSO BRASILEIRO S.A.;59.118.133;b1;I;2;;8;SAO PAULO;SP;03/2013;376.959;23.951;127.323;160.486;35.426;3.387;4.970;3.068;1.470;16.878;0
COOPERATIVA CENTRO BRASILEIRA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DA SAÚDE LTDA.;37.395.399;b3S;I;2;;9;GOIANIA;GO;03/2013;372.185;0;240.348;85.454;28.593;8.774;1.422;735;148;6.711;0
BANCO MODAL S.A.;30.723.886;b1;I;2;;8;RIO DE JANEIRO;RJ;03/2013;369.736;52.548;100.994;130.309;69.253;16.535;0;97;0;0;0
BANCO YAMAHA MOTOR DO BRASIL S.A.;10.371.492;b2;I;3;;8;GUARULHOS;SP;03/2013;368.326;35;287.726;18.843;20.909;9.922;5.404;4.289;3.463;17.736;0
INTERCAP;50.476;b1;C;2;;199;SAO PAULO;SP;03/2013;367.259;0;51.745;240.226;25.165;12.025;7.742;4.003;15.677;10.676;0
UNICRED JOÃO PESSOA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE JOÃO PESSOA LTDA.;35.571.249;b3S;I;2;;9;JOAO PESSOA;PB;03/2013;366.880;0;294.496;39.919;18.438;2.886;2.716;2.850;696;4.881;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO VALE DO PIQUIRI   SICREDI VALE DO PIQUIRI PR;81.099.491;b3S;I;2;;9;PALOTINA;PR;03/2013;356.539;0;104.528;198.105;33.745;10.101;2.002;1.477;1.227;5.354;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC;87.780.268;b3S;I;2;;9;ERECHIM;RS;03/2013;327.325;0;97.752;151.724;58.527;8.151;3.508;378;702;6.583;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95.594.941;b3S;I;2;;9;SANTA MARIA;RS;03/2013;320.254;0;68.815;103.234;118.527;11.575;5.893;3.127;1.749;7.335;0
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DA ÁREA DE SAÚDE E EMPRESÁRIOS LTDA;2.398.976;b3S;I;2;;9;LONDRINA;PR;03/2013;317.601;2.663;180.580;99.540;25.974;406;1.715;624;93;6.007;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO/SC;78.825.270;b3S;I;2;;9;CHAPECO;SC;03/2013;316.125;0;178.642;93.234;24.745;9.084;2.694;1.243;1.142;5.341;0
