Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BESC;30245;b1;;C;1;FLORIANOPOLIS;SC;06/2006;92.662;0;234.674;0;0;18.234;345.569;-165.306;-1.030;0;-619;-7.085;-174.039;171.530;74.219;0;-114.239;-67.275;-14.456;2.065;4.784;-6.487;-121.390;50.140;7.175;57.316;-6.827;0;50.488;-11
BRB;31976;b1;;C;1;BRASILIA;DF;06/2006;297.322;0;40.459;-3.467;1.052;7.830;343.196;-88.205;-927;0;0;-20.675;-109.808;233.388;74.555;0;-97.955;-137.249;-22.662;3.236;17.253;-28.608;-191.430;41.959;903;42.862;-7.097;-5.133;30.632;-7.200
BANCO GMAC S/A;59274605;b2;;I;3;SAO PAULO;SP;06/2006;311.782;17.408;9.084;0;11;0;338.284;-154.344;-8.298;-11.133;0;-21.225;-195.000;143.285;22.874;0;-2.395;-118.114;-14.111;18.909;37.105;-18.629;-74.361;68.924;-1.511;67.413;-4.103;0;63.310;-1.793
BMC;30276;b1;;C;2;SAO PAULO;SP;06/2006;224.819;1.134;113.297;-2.846;0;0;336.405;-133.971;-19.108;-926;-872;-26.973;-181.849;154.556;960;0;-24.269;60.029;-1.264;680;16.339;-122.932;-70.457;84.099;-1.900;82.199;-18.398;0;63.801;-10.099
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;06/2006;85.056;0;210.849;0;9.842;3;305.751;-42.203;-57.563;0;0;-78.901;-178.667;127.084;140.904;0;-106.289;-84.556;-19.627;0;89.455;-145.730;-125.842;1.243;936;2.179;35.503;0;37.682;0
DAIMLERCHRYSLER;51262;b2;;C;3;SAO PAULO;SP;06/2006;167.390;143.136;14;-8.369;0;237;302.408;-36.604;-83.295;-100.253;0;-26.406;-246.557;55.850;1.145;0;-22.186;-19.027;-8.673;0;18.308;-1.154;-31.587;24.264;-3.756;20.508;-6.822;0;13.686;0
RURAL;31244;b1;;C;2;BELO HORIZONTE;MG;06/2006;205.866;13.826;54.371;678;5.720;89;280.550;-93.453;-24.350;-9.898;0;-41.967;-169.667;110.883;7.622;0;-56.310;-66.572;-10.431;-24.011;106.106;-62.314;-105.909;4.973;2.375;7.349;-1.299;-2.668;3.381;0
CRUZEIRO DO SUL;50720;b1;;C;2;SAO PAULO;SP;06/2006;149.133;0;130.648;-19.766;0;0;260.015;-211.401;-77;0;0;-5.743;-217.222;42.794;10.451;0;-14.477;-48.046;-1.375;5.193;67.692;-50.604;-31.167;11.626;-30;11.597;8.064;-828;18.832;0
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;06/2006;210.848;12.027;27.293;0;0;0;250.168;-15.206;-127.516;-8.919;0;-33.327;-184.968;65.200;3.370;0;-3.362;-30.850;-7.199;11.304;532;-6.121;-32.326;32.874;-2.098;30.776;-3.521;-239;27.016;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;06/2006;171.890;0;68.140;0;0;0;240.029;0;-109.714;0;0;-12.099;-121.814;118.215;2.427;0;-40.310;-15.086;-5.797;0;9.285;-3.486;-52.967;65.249;-822;64.426;-20.313;0;44.113;0
ING;51073;b1;;C;3;SAO PAULO;SP;06/2006;6.563;0;166.842;17.488;48.563;0;239.456;-165.904;-3.897;0;0;0;-169.801;69.655;5.248;0;-16.578;-16.793;-3.288;0;5.405;-30.516;-56.523;13.133;-3;13.129;-3.777;-174;9.178;0
PINE;50304;b1;;C;2;SAO PAULO;SP;06/2006;162.621;0;84.958;-15.935;6.643;0;238.286;-94.450;-25.084;0;0;-10.395;-129.929;108.358;5.387;0;-15.899;-50.039;-7.187;0;7.315;-17.916;-78.339;30.019;233;30.252;-2.402;-831;27.018;-8.771
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;06/2006;199.885;0;28.260;-8.625;8.336;0;227.856;-88.356;-84.438;0;0;-8.024;-180.819;47.037;10.912;0;-25.755;-15.730;-2.224;-2.452;79.946;-58.123;-13.426;33.612;0;33.611;-6.503;-2.232;24.876;-16.560
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;06/2006;57.179;0;164.176;-340;889;521;222.424;-195.101;-16.527;0;0;88;-211.540;10.884;8.999;0;-7.454;-13.179;-1.824;588;10.166;-1.797;-4.502;6.382;1;6.383;-824;0;5.559;-2.460
BANCO BGN S.A.;558456;b1;;I;2;RECIFE;PE;06/2006;128.109;0;82.500;-17.905;0;0;192.704;-84.459;-720;0;0;-24.001;-109.180;83.524;5.071;0;-15.201;-44.660;-5.432;449;0;-3.052;-62.825;20.700;-369;20.331;-10.062;0;10.269;0
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;06/2006;165.009;0;44.331;-23.807;6.390;0;191.922;-84.948;-6.299;0;0;-13.878;-105.125;86.797;5.106;0;-15.460;-31.418;-6.248;-7.335;23.642;-7.596;-39.309;47.488;-3;47.485;-21.476;0;26.009;0
SCHAHIN;50191;b1;;C;2;SAO PAULO;SP;06/2006;185.921;0;11.422;-17.321;2.693;0;182.715;-57.821;-1.690;0;0;-1.165;-60.676;122.038;13.696;0;-12.674;-44.916;-13.189;2.639;10.081;-29.708;-74.072;47.967;-20.815;27.152;-8.249;-1.005;17.898;0
BANCO CACIQUE S.A.;33349358;b1;;I;2;SAO PAULO;SP;06/2006;161.803;0;14.789;3.993;0;0;180.585;-42.853;-6;0;-111;-946;-43.915;136.669;2.818;0;-7.717;-104.712;-8.409;21;737;-5.162;-122.425;14.245;0;14.245;-1.177;-511;12.557;0
BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB;2038232;b1;;I;2;BRASILIA;DF;06/2006;37.172;0;114.648;20.406;0;474;172.700;-136.693;-14.317;0;0;-1.318;-152.329;20.371;44.610;0;-14.859;-25.629;-4.856;781;4.651;-12.834;-8.136;12.235;0;12.235;-3.843;-493;7.900;0
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;06/2006;43;0;168.404;0;0;0;168.447;-1;0;0;0;0;-1;168.446;0;0;-123;-1.598;0;0;990;-85.471;-86.201;82.245;0;82.246;-1.983;-10;80.252;-4.004
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;;I;3;BARUERI;SP;06/2006;499;148.515;1.034;-5.015;0;0;145.033;0;-8.928;-114.330;0;818;-122.441;22.592;0;0;0;-6.237;-1.764;0;18.008;-495;9.512;32.103;-23;32.080;-6.927;0;25.153;0
BANCO GE CAPITAL S.A.;62421979;b1;;I;3;SAO PAULO;SP;06/2006;160.119;0;907;-24.032;0;0;136.994;-37.213;-19.800;0;0;-62.358;-119.371;17.623;9.681;0;-13.110;-66.004;-7.095;0;35.250;-8.728;-50.006;-32.383;-250;-32.634;0;-545;-33.179;0
