Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
AGENCIA DE FOMENTO DO PARANA S.A.;3584906;n1;;I;1;CURITIBA;PR;06/2007;22;0;525.579;369.797;-2.375;367.421;0;0;0;0;0;493;15;460;893.991;0;893.991
BANCO FORD S.A.;90731688;b2;;I;3;SAO PAULO;SP;06/2007;15.137;166.840;0;636.127;-10.277;625.850;0;0;0;0;0;39.713;604;0;848.143;0;848.143
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;06/2007;159;4.546;695.676;42.719;-209;42.511;0;0;0;0;0;7.798;58.599;10.371;819.660;0;819.660
PROSPER;50414;b1;;C;2;RIO DE JANEIRO;RJ;06/2007;146;130.457;291.911;92.475;-4.961;87.514;0;0;0;0;0;204.705;1.054;19.996;735.782;0;735.782
AGORA-SENIOR CORRETORA DE TITULOS E VALORES MOBILIARIOS S/A;74014747;n2;;I;2;RIO DE JANEIRO;RJ;06/2007;1.200;151.776;143.034;30.158;0;30.158;0;0;0;0;0;303.845;1.193;38.642;669.847;0;669.847
SOCOPA;50328;b1;;C;2;SAO PAULO;SP;06/2007;38.522;161.644;95.605;227.765;-15.253;212.512;0;0;0;0;0;117.375;13.449;27.208;666.316;0;666.316
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;;I;1;SALVADOR;BA;06/2007;401;2.433;350.028;317.146;-38.423;278.723;0;0;0;0;0;9.628;605;13.446;655.264;0;655.264
RENDIMENTO;51468;b1;;C;2;SAO PAULO;SP;06/2007;71.868;17.469;53.119;233.910;-7.969;225.941;0;0;0;0;0;260.859;5.940;18.327;653.523;0;653.523
BANCO MODAL S.A.;30723886;b1;;I;2;RIO DE JANEIRO;RJ;06/2007;291;0;441.546;147.348;-8.103;139.245;0;0;0;0;0;17.319;20.258;8.353;627.012;0;627.012
BANCO KDB DO BRASIL S.A.;7656500;b1;;I;3;SAO PAULO;SP;06/2007;165;106.197;459.491;31.550;-158;31.392;0;0;0;0;0;21.034;327;1.552;620.157;0;620.157
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;;I;1;FLORIANOPOLIS;SC;06/2007;135;1.729;331.452;314.090;-56.594;257.496;0;0;0;0;0;11.690;4.306;6.414;613.221;0;613.221
COOPERATIVA CENTRAL DE CREDITO DE SANTA CATARINA-SICOOB CENTRAL SC;80160260;b3C;;I;2;FLORIANOPOLIS;SC;06/2007;23;205.413;354.125;9.800;-71;9.728;0;0;0;0;0;2.299;12.945;8.786;593.318;0;593.318
COOPERATIVA CENTRAL DE CRÉDITO RURAL DO ESTADO DE SÃO PAULO;63917579;b3C;;I;2;SAO PAULO;SP;06/2007;81;242.223;265.737;41.421;-11.145;30.275;0;0;0;0;0;13.930;1.597;4.174;558.016;0;558.016
ECONOMIA CREDITO IMOBILIARIO S.A.-ECONOMISA;17441197;n1;;I;2;BELO HORIZONTE;MG;06/2007;972;0;57.151;45.492;-7.867;37.625;0;0;0;0;0;48.830;410.949;1.226;556.753;0;556.753
VR;50524;b1;;C;2;BARUERI;SP;06/2007;60;110.123;7.005;60.213;-9.029;51.184;0;0;0;0;0;309.070;11.650;66.084;555.176;0;555.176
HEDGING-GRIFFO CORRETORA DE VALORES S/A;61809182;n2;;I;2;SAO PAULO;SP;06/2007;5.782;65.009;127.420;0;0;0;0;0;0;0;0;310.919;86;32.581;541.797;0;541.797
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;;I;3;BARUERI;SP;06/2007;1.349;0;38.437;0;0;0;18.904;450.893;4.822;-3.565;471.055;23.675;57;1.524;536.097;4.822;531.274
