Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
DAIMLERCHRYSLER;51262;b2;;C;3;SAO PAULO;SP;06/2004;0;0;147.888;0;0;147.888;0;0;0;0;0;0;0;1.078.724;1.226.612;0;193.127;1.419.739;6.160;190.444;1.616.342
PINE;50304;b1;;C;2;SAO PAULO;SP;06/2004;47.541;0;51.878;495.125;0;594.544;340.025;0;0;0;0;0;0;354.007;1.288.576;912;47.429;1.336.917;109;162.447;1.499.473
CREDIT LYONNAIS;51066;b1;;C;3;SAO PAULO;SP;06/2004;4.535;0;0;20.398;0;24.933;472.787;0;0;0;159.844;0;159.844;90.956;748.521;11.318;610.436;1.370.275;245;112.637;1.483.158
IBM BRASIL LEASING ARRENDAMENTO MERCANTIL S/A;34270520;n1;;I;3;RIO DE JANEIRO;RJ;06/2004;0;0;0;0;0;0;0;0;0;0;0;77.401;77.401;1.044.860;1.122.261;197;240.554;1.363.012;0;119.841;1.482.853
BEC;30214;b1;;C;1;FORTALEZA;CE;06/2004;17.424;482.396;0;194.362;16.424;710.607;248.889;0;0;0;0;0;0;3.052;962.548;16;169.752;1.132.317;0;331.390;1.463.706
BESC S/A - CREDITO IMOBILIARIO;83725150;n1;;I;1;FLORIANOPOLIS;SC;06/2004;0;1.309.513;47;22.520;0;1.332.080;0;0;0;0;0;0;0;0;1.332.080;0;5.111;1.337.191;0;55.874;1.393.066
SOFISA;31873;b1;;I;2;SAO PAULO;SP;06/2004;56.707;0;48.857;672.068;0;777.631;20.079;0;0;0;96.587;0;96.587;0;894.298;2.040;215.597;1.111.934;0;241.748;1.353.682
BANCO FIDIS DE INVESTIMENTO S.A.;62237425;b2;;I;3;BETIM;MG;06/2004;0;0;0;696.326;0;696.326;0;0;0;0;0;0;0;892;697.219;0;302.296;999.515;307;341.094;1.340.916
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;06/2004;0;0;0;0;115.899;115.899;0;0;0;0;0;89.200;89.200;3.247;208.346;0;25.678;234.024;0;1.083.639;1.317.663
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;06/2004;162;0;0;0;0;162;0;0;0;0;0;0;0;0;162;0;63.898;64.059;0;1.253.600;1.317.659
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;;I;3;SAO PAULO;SP;06/2004;45.032;0;0;155.002;2.677;202.710;79.114;0;0;0;0;0;0;527.948;809.772;806;108.995;919.573;247;342.211;1.262.031
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;06/2004;41.937;0;41.459;563.429;0;646.826;192.832;0;0;0;0;0;0;3.076;842.734;9.838;89.070;941.643;187;309.905;1.251.734
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.;38486817;b4;;I;1;BELO HORIZONTE;MG;06/2004;0;0;0;0;0;0;0;0;0;0;0;0;0;548.524;548.524;0;220.822;769.347;0;453.774;1.223.121
COOPERATIVA CENTRAL DE CREDITO DO RIO GRANDE DO SULSICREDI CENTRAL-RS;87437687;b3C;;I;2;PORTO ALEGRE;RS;06/2004;6;0;0;0;0;6;0;0;0;0;0;0;0;0;6;0;1.144.358;1.144.364;0;41.516;1.185.881
CACIQUE;51121;b1;;I;2;SAO PAULO;SP;06/2004;2.732;0;97.184;426.096;0;526.012;326.124;0;0;0;0;0;0;0;852.136;18.843;36.748;907.727;8.857;259.888;1.176.471
